100 nm


lambda, Y
485, 0.266004
490, 0.245624
495, 0.235734
500, 0.237064
505, 0.243981
510, 0.248808
515, 0.240817
520, 0.231313
525, 0.239279
530, 0.249612
535, 0.257935
540, 0.2649
545, 0.271409
550, 0.277829
555, 0.283646
560, 0.287486
565, 0.28775
570, 0.282701
575, 0.269957
580, 0.252426
585, 0.233862
590, 0.217323
595, 0.204444
600, 0.195068
605, 0.188509
610, 0.183681
615, 0.179582
620, 0.17605
625, 0.173249
630, 0.171266
635, 0.170127
640, 0.169465
645, 0.169291
650, 0.170182
655, 0.171991
660, 0.176238
665, 0.183223
670, 0.193343
675, 0.203625
680, 0.208476
685, 0.205283
690, 0.195642
695, 0.181795
700, 0.164928
705, 0.14791
710, 0.138957
715, 0.141959
720, 0.149247
725, 0.155212
730, 0.159243
735, 0.161809
740, 0.163305
745, 0.164511
750, 0.165775
755, 0.166486
760, 0.167479
765, 0.168641
770, 0.169817
775, 0.171734
780, 0.174075
785, 0.178619
790, 0.177852
795, 0.170176
800, 0.163974
805, 0.164129
810, 0.164911
815, 0.163165
820, 0.159655
825, 0.155183
830, 0.150372
835, 0.145649
840, 0.141191
845, 0.137087
850, 0.133564
855, 0.130579
860, 0.127856
865, 0.125467
870, 0.123496
875, 0.12161
880, 0.119218
885, 0.116712
890, 0.11468
895, 0.113189
900, 0.112118
905, 0.111261
910, 0.110364
915, 0.109429
920, 0.108852
925, 0.108649
930, 0.108434
935, 0.108171
940, 0.108211
945, 0.108305
950, 0.108137
955, 0.108247
960, 0.108399
965, 0.108444
970, 0.108981
975, 0.109136
980, 0.109405
985, 0.109568
990, 0.109699
995, 0.109986
1000, 0.110163
1005, 0.11057
1010, 0.110936
1015, 0.111479
1020, 0.11224
1025, 0.11299
1030, 0.114128
1035, 0.114743
1040, 0.115664
1045, 0.116564
1050, 0.117481
1055, 0.118994
1060, 0.120467
1065, 0.122174
1070, 0.124587
1075, 0.12716
1080, 0.129776
1085, 0.132422
1090, 0.134123
1095, 0.134718
1100, 0.135538
1105, 0.137056
1110, 0.137885
1115, 0.135945
1120, 0.131182
1125, 0.126446
1130, 0.12395
1135, 0.123637
1140, 0.124621
1145, 0.126227
1150, 0.128135
1155, 0.130267
1160, 0.132729
1165, 0.135724
1170, 0.139321
1175, 0.143414
1180, 0.147891
1185, 0.152688
1190, 0.157772
1195, 0.163105
1200, 0.16862
1205, 0.174191
1210, 0.179633
1215, 0.184764
1220, 0.189452
1225, 0.193564
1230, 0.19692
1235, 0.199338
1240, 0.200687
1245, 0.200917
1250, 0.200058
1255, 0.198226
1260, 0.195647
1265, 0.192607
1270, 0.189371
1275, 0.186126
1280, 0.183003
1285, 0.180077
1290, 0.177357
1295, 0.174791
1300, 0.172305
1305, 0.169864
1310, 0.167514
1315, 0.165393
1320, 0.16365
1325, 0.162331
1330, 0.161284
1335, 0.160257
1340, 0.159104
1345, 0.157949
1350, 0.157087
1355, 0.156634
1360, 0.15635
1365, 0.155878
1370, 0.155223
1375, 0.154772
1380, 0.154736
1385, 0.15478
1390, 0.15454
1395, 0.15424
1400, 0.154321
1405, 0.154628
1410, 0.154695
1415, 0.154697
1420, 0.155082
1425, 0.155616
1430, 0.155957
1435, 0.15653
1440, 0.157451
1445, 0.158263
1450, 0.159387
1455, 0.161206
1460, 0.162845
1465, 0.165141
1470, 0.169752
1475, 0.174723
1480, 0.183055
1485, 0.203346
1490, 0.148511
1495, 0.161582
1500, 0.146553
1505, 0.114685
1510, 0.082784
1515, 0.0652317
1520, 0.0585857
1525, 0.0535737
1530, 0.0499087
1535, 0.0485134
1540, 0.045613
1545, 0.0429525
1550, 0.0400236
1555, 0.0350191
1560, 0.0307788
1565, 0.0257124
1570, 0.0208884
1575, 0.0172959
1580, 0.0138306
1585, 0.0120521
1590, 0.0112592
1595, 0.011686
1600, 0.0137087

350nm


lambda, Y
300, 0.233041
305, 0.230979
310, 0.229308
315, 0.228013
320, 0.227252
325, 0.226907
330, 0.226943
335, 0.227161
340, 0.22753
345, 0.228102
350, 0.228982
355, 0.230187
360, 0.230968
365, 0.229598
370, 0.225339
375, 0.220025
380, 0.215523
385, 0.212617
390, 0.209664
395, 0.207473
400, 0.208046
405, 0.208783
410, 0.208134
415, 0.207426
420, 0.21061
425, 0.228173
430, 0.241298
435, 0.240376
440, 0.237617
445, 0.237293
450, 0.243639
455, 0.251618
460, 0.258278
465, 0.263281
470, 0.266772
475, 0.268957
480, 0.269016
485, 0.265947
490, 0.257329
495, 0.241209
500, 0.223185
505, 0.21758
510, 0.223862
515, 0.228021
520, 0.216702
525, 0.205871
530, 0.208045
535, 0.214184
540, 0.219944
545, 0.224858
550, 0.22923
555, 0.233353
560, 0.237455
565, 0.241765
570, 0.246928
575, 0.252901
580, 0.259029
585, 0.265155
590, 0.271109
595, 0.275582
600, 0.275976
605, 0.267499
610, 0.246741
615, 0.2198
620, 0.196614
625, 0.180265
630, 0.169509
635, 0.161814
640, 0.155445
645, 0.150426
650, 0.146587
655, 0.143756
660, 0.141983
665, 0.142879
670, 0.147712
675, 0.155848
680, 0.165725
685, 0.176044
690, 0.185957
695, 0.19524
700, 0.2023
705, 0.203224
710, 0.19031
715, 0.162588
720, 0.14354
725, 0.140122
730, 0.142837
735, 0.146498
740, 0.149761
745, 0.152244
750, 0.154464
755, 0.156934
760, 0.159271
765, 0.16248
770, 0.166274
775, 0.171184
780, 0.178062
785, 0.189221
790, 0.205028
795, 0.207008
800, 0.190524
805, 0.185509
810, 0.196567
815, 0.208149
820, 0.215526
825, 0.218635
830, 0.217931
835, 0.214526
840, 0.208377
845, 0.199317
850, 0.190133
855, 0.183414
860, 0.176542
865, 0.16831
870, 0.159031
875, 0.151148
880, 0.147535
885, 0.145421
890, 0.14222
895, 0.138201
900, 0.13404
905, 0.130111
910, 0.126615
915, 0.123199
920, 0.119582
925, 0.116319
930, 0.113605
935, 0.110911
940, 0.108372
945, 0.106545
950, 0.104776
955, 0.102982
960, 0.101833
965, 0.100485
970, 0.0995396
975, 0.0989928
980, 0.098248
985, 0.0980075
990, 0.0973565
995, 0.0972567
1000, 0.0967194
1005, 0.0966979
1010, 0.0962708
1015, 0.0963213
1020, 0.0960936
1025, 0.0963309
1030, 0.0967383
1035, 0.0971144
1040, 0.0977307
1045, 0.0979539
1050, 0.0984469
1055, 0.099121
1060, 0.0996969
1065, 0.100776
1070, 0.102274
1075, 0.104111
1080, 0.106926
1085, 0.110709
1090, 0.114361
1095, 0.117287
1100, 0.120432
1105, 0.124695
1110, 0.129701
1115, 0.133449
1120, 0.133622
1125, 0.130815
1130, 0.127485
1135, 0.124961
1140, 0.123432
1145, 0.122763
1150, 0.122743
1155, 0.123085
1160, 0.123542
1165, 0.124119
1170, 0.124968
1175, 0.126153
1180, 0.12765
1185, 0.129428
1190, 0.131482
1195, 0.133819
1200, 0.136441
1205, 0.139354
1210, 0.142581
1215, 0.146196
1220, 0.150309
1225, 0.155004
1230, 0.160316
1235, 0.166264
1240, 0.172855
1245, 0.180032
1250, 0.187633
1255, 0.19536
1260, 0.202811
1265, 0.209556
1270, 0.21505
1275, 0.218567
1280, 0.219461
1285, 0.217498
1290, 0.213033
1295, 0.206907
1300, 0.200042
1305, 0.192974
1310, 0.185777
1315, 0.178415
1320, 0.171153
1325, 0.164666
1330, 0.159634
1335, 0.156161
1340, 0.153576
1345, 0.150984
1350, 0.14818
1355, 0.145911
1360, 0.144979
1365, 0.145102
1370, 0.145064
1375, 0.144299
1380, 0.143769
1385, 0.144581
1390, 0.146123
1395, 0.146881
1400, 0.14701
1405, 0.148221
1410, 0.150674
1415, 0.15249
