100 nm


lambda, Y
1185, 0.0242739
1190, 0.024758
1195, 0.0254574
1200, 0.0263267
1205, 0.0272659
1210, 0.028088
1215, 0.02861
1220, 0.0288321
1225, 0.0288857
1230, 0.0288464
1235, 0.028708
1240, 0.0284385
1245, 0.02801
1250, 0.0273994
1255, 0.0265865
1260, 0.0255804
1265, 0.0244483
1270, 0.0232798
1275, 0.0221263
1280, 0.0210033
1285, 0.01992
1290, 0.0188961
1295, 0.0179603
1300, 0.0171386
1305, 0.0164347
1310, 0.0158132
1315, 0.0152126
1320, 0.0145874
1325, 0.0139522
1330, 0.0133806
1335, 0.0129428
1340, 0.0126265
1345, 0.0123267
1350, 0.0119457
1355, 0.0115112
1360, 0.0111603
1365, 0.0109657
1370, 0.0108175
1375, 0.0105598
1380, 0.0102277
1385, 0.0100114
1390, 0.00994857
1395, 0.00984028
1400, 0.00959204
1405, 0.00940177
1410, 0.00939456
1415, 0.00936701
1420, 0.00919044
1425, 0.00909114
1430, 0.00917388
1435, 0.00919118
1440, 0.00910519
1445, 0.00918874
1450, 0.00940077
1455, 0.00951124
1460, 0.00968502
1465, 0.0101389
1470, 0.0107315
1475, 0.0114291
1480, 0.0128753
1485, 0.0163766
1490, 0.0139641
1495, 0.0169605
1500, 0.0215836
1505, 0.0252528
1510, 0.0263455
1515, 0.027922
1520, 0.0304039
1525, 0.0336984
1530, 0.037293
1535, 0.040079
1540, 0.0417951
1545, 0.0418077
1550, 0.0405148
1555, 0.0384131
1560, 0.0357058
1565, 0.0331123
1570, 0.0304911
1575, 0.0281422
1580, 0.0260881
1585, 0.0241676
1590, 0.0226083
1595, 0.0211416
1600, 0.0199005

350 nm


lambda, Y
300, 0.184426
305, 0.191542
310, 0.202461
315, 0.206106
320, 0.217478
325, 0.216902
330, 0.222118
335, 0.22694
340, 0.22867
345, 0.223753
350, 0.226656
355, 0.223736
360, 0.22113
365, 0.222069
370, 0.228635
375, 0.23761
380, 0.248719
385, 0.255493
390, 0.264371
395, 0.277399
400, 0.280937
405, 0.275914
410, 0.278436
415, 0.289778
420, 0.306268
425, 0.314395
430, 0.266356
435, 0.263399
440, 0.258162
445, 0.251638
450, 0.239764
455, 0.229666
460, 0.223301
465, 0.220347
470, 0.219838
475, 0.221671
480, 0.225643
485, 0.233264
490, 0.245664
495, 0.262254
500, 0.271975
505, 0.264682
510, 0.254671
515, 0.258587
520, 0.262625
525, 0.239976
530, 0.212325
535, 0.193844
540, 0.182462
545, 0.175198
550, 0.170426
555, 0.167287
560, 0.16531
565, 0.164523
570, 0.164204
575, 0.165587
580, 0.168541
585, 0.173161
590, 0.17882
595, 0.186319
600, 0.195621
605, 0.203947
610, 0.204664
615, 0.193608
620, 0.175887
625, 0.158191
630, 0.143615
635, 0.132749
640, 0.12504
645, 0.119358
650, 0.114626
655, 0.11138
660, 0.108913
665, 0.10757
670, 0.107328
675, 0.108449
680, 0.111368
685, 0.11657
690, 0.124433
695, 0.136211
700, 0.153519
705, 0.175689
710, 0.192762
715, 0.177832
720, 0.138077
725, 0.107191
730, 0.0907726
735, 0.0827529
740, 0.0788629
745, 0.0768593
750, 0.0757625
755, 0.0752882
760, 0.0748767
765, 0.0747644
770, 0.0746214
775, 0.0743542
780, 0.0735595
785, 0.0696412
790, 0.0625804
795, 0.0566419
800, 0.0536088
805, 0.0546114
810, 0.0553691
815, 0.0544847
820, 0.0525838
825, 0.0501935
830, 0.0475773
835, 0.0451445
840, 0.0432477
845, 0.0420688
850, 0.0408742
855, 0.0387292
860, 0.0368161
865, 0.0359722
870, 0.0362438
875, 0.0363161
880, 0.0341404
885, 0.0308962
890, 0.0282735
895, 0.0264191
900, 0.0250574
905, 0.0239774
910, 0.0230018
915, 0.0219631
920, 0.02098
925, 0.0200255
930, 0.0192624
935, 0.0188715
940, 0.0184145
945, 0.0178436
950, 0.0176387
955, 0.0173187
960, 0.0169777
965, 0.0169777
970, 0.0166091
975, 0.0164645
980, 0.0161296
985, 0.0159147
990, 0.0157159
995, 0.0155362
1000, 0.0154267
1005, 0.0153612
1010, 0.0153492
1015, 0.0155399
1020, 0.015759
1025, 0.0162813
1030, 0.0164336
1035, 0.0163341
1040, 0.0160285
1045, 0.0157997
1050, 0.0158844
1055, 0.0160826
1060, 0.0165753
1065, 0.0174904
1070, 0.0188383
1075, 0.0209563
1080, 0.0240486
1085, 0.027572
1090, 0.0301968
1095, 0.0314536
1100, 0.0328764
1105, 0.0359668
1110, 0.0406385
1115, 0.044434
1120, 0.0440113
1125, 0.0395736
1130, 0.0340954
1135, 0.0294705
1140, 0.0261097
1145, 0.0238592
1150, 0.0224461
1155, 0.0215453
1160, 0.0207869
1165, 0.0199584
1170, 0.0191348
1175, 0.0184562
1180, 0.0179784
1185, 0.0177013
1190, 0.0176134
1195, 0.0177098
1200, 0.0179859
1205, 0.0184142
1210, 0.0189109
1215, 0.0193702
1220, 0.0197902
1225, 0.0202756
1230, 0.0209243
1235, 0.0217889
1240, 0.0228963
1245, 0.0242483
1250, 0.0257904
1255, 0.0273617
1260, 0.0287271
1265, 0.0297445
1270, 0.0304158
1275, 0.0307404
1280, 0.0306564
1285, 0.0301037
1290, 0.0290797
1295, 0.0276537
1300, 0.0259605
1305, 0.024162
1310, 0.0223749
1315, 0.0206462
1320, 0.0189989
1325, 0.0174809
1330, 0.0161609
1335, 0.0150797
1340, 0.0141996
1345, 0.0134173
1350, 0.012654
1355, 0.0119359
1360, 0.0113608
1365, 0.0109614
1370, 0.0106329
1375, 0.010252
1380, 0.00985022
1385, 0.00957203
