lambda	100 nm	150 nm	200 nm	250 nm	300 nm	350 nm	400 nm	425 nm
1550	0.0697401	0.0995834	0.0965657	0.087714	0.0671952	0.0542806	0.0558919	0.0759355
1555	0.0690975	0.0979482	0.0955973	0.0896557	0.0668423	0.0531016	0.054512	0.0741615
1560	0.0677716	0.0953657	0.093107	0.089483	0.066189	0.0516109	0.052486	0.0709693
1565	0.0667398	0.0923586	0.0904861	0.0899198	0.0655835	0.0498485	0.050157	0.0676669
1570	0.0649786	0.0892628	0.089626	0.0897696	0.0654128	0.0484446	0.0481872	0.0643545
1575	0.0636313	0.0862404	0.0866689	0.0887781	0.0651738	0.0468209	0.0457798	0.0604847
1580	0.0622812	0.0834797	0.085758	0.0887211	0.06539	0.0454806	0.0438506	0.0573885
1585	0.060686	0.0808831	0.0839175	0.0872682	0.0656781	0.0442602	0.0419075	0.0539948
1590	0.0598011	0.0786959	0.082182	0.0868194	0.066067	0.0429941	0.0400241	0.0510965
1595	0.0583267	0.0765746	0.0814718	0.0857121	0.0667444	0.0420848	0.0385566	0.0485179
1600	0.0575247	0.0748452	0.0794078	0.0846716	0.0672504	0.0410089	0.0368722	0.045892
